source_page,company,stand
5,ALGRA S.p.A,1437
5,All Metal Services Ltd.,C209-210
5,AllClear Aerospace and Defense,3745
5,Alleima Tube AB,1335
5,"Allen Aircraft Products, Inc.",41314
5,Allfast Fastening Systems,1355
5,ALLINOX COMPONENTS SRL,1245
5,Alloy Wire International,1320
5,ALMA SISTEMI SRL,1250
5,Alp Aviation,41341
5,Alpha Metalcraft Group,2033
5,Alpine Eagle Defence Ltd.,0025
6,ALRO S.A.,1553
6,ALRO SA,0150
6,ALTAIR (consortium),1245
6,"Altitude, University of Lancashire",1310
6,AMCo srl,"1145,1147"
6,AMDA FOUNDATION LIMITED,3311
6,AMDA Foundation Ltd,1011
6,Amentum,3931
6,American Battle Monuments Fndn,3040
6,American Drilling Company,1355
6,American Industrial Acquisition Corp (AIAC),41350
6,American Industries,3320
6,American Standard Circuits,2040
6,AMETEK,"3019, 3121, C112"
6,AMI Metals,C209-210
6,Amnovis,"1058, 1157"
6,Amphenol Ltd,1210
6,Amprius Technologies,4832
6,"Analytical AI, Inc.",3340
6,ANDALUCIA AEROSPACE,2121
7,Andalucía TRADE,2121
7,Andalusia Defense Hub,2121
7,Anduril Industries,"A025, A027"
7,ANELLO Photonics,2338
7,Anemo Engineering,"1058, 1157"
7,Angoka,1321
7,ANH Structure,4935
7,Ankit Aerospace,41135
7,Anser Aeronautics and Space Emilia-Romagna,1538
7,ANSYS UK Ltd,C221
7,Antalis Packaging Solutions,4717
7,Antonov Logistics Salis GmbH,0350
7,Antrica,4644
7,Aperam Alloys Imphy,C604
7,Apollo Aerospace Components Ltd,1130
7,Applied Aerospace & Defense,4200
7,Aquarese,1360
7,AR Procurement Services Ltd,1320
7,ARC 145 LLC,3526B
7,Archer Aviation Inc.,B020
8,ARESIA,1360
8,Argive,4238E
8,ARGOTEC,4100
8,Arista Networks UK Ltd,2002
8,Arkansas World Trade Center,3125
8,Arnprior Aerospace Inc.,41350
8,Arnprior Aerospace Portland,41350
8,ARRK Europe Ltd,1310
8,Arrowhead Products,41313
8,ARS ELECTRONICS SRL,1435
8,"Ascendant Spaceflight Services, LLC",3526C
8,ASE S.p.A.,1127
8,Aselsan,2110
8,ASG Aerospace,1320
8,Ashot Ashkelon Industries Ltd,3831
8,Ashton Aerospace & Defence,1048
8,Astra Products Company,3521E
8,Astronautics Corporation of America,2035
8,Astronics,2027
8,ATC Aerospace Ltd,1317
9,ATG,"41320, 41321"
9,ATI,C318-321
9,AtkinsRéalis,C131-132
9,"ATLA , Japan Ministry of Defense",2506
9,Atlantic Aviation Group,0390
9,Atlantic Casting & Engineering Corporation,3233
9,ATR,C214
9,AUBERT et DUVAL,1360
9,Australian Department of Defence,3311
9,Austrian Industrial Cooperation & Aviation Technology Group,"3722,3726, 3728"
9,Automatic Industrial Machines Ltd,"1120, C413"
9,Auva Certification Ltd,1120H
9,Avantus Aerospace,1151
9,Averna powered by Spherea,4715
9,Aviation & Defence Spares Ltd,4235
9,Aviation for Good,PI-07
9,Aviation Week,41020
9,"AVIATRIX, INC.",2031
9,Avio Aero,B026
9,AVIOCHEM SRL,1437
10,Aviointeriors S.p.A.,1435
10,Avionica,3521D
10,AVIOREC,1435
10,AVIVA METALS,1360
10,AVP MRO - Aero Voo de Portugal lda,1451
10,"AVRRC, Loughborough University",0675
10,Avtrain,0390
10,Avvron Ltd,1317
10,AWS GROUP - CUSTOMER SUPPORT,41124
10,Axillon Aerospace,3842
10,AXISCADES,2324
10,AYTANA AEROSPACE & DEFENSE,2121
10,B-Tech Engineering Ltd,3930
10,B&S Aircraft Alloys,4844
10,B2Space,4000
10,Babcock International Group,"C325, 4238L"
10,BAE Systems,HALL5
10,"Baoji Kehui Titanium Industry Co.,Ltd",41524
10,"Baoji Titanium Industry Co., Ltd",4826
10,"Baoji Yongshengtai Titanium Industry Co., Ltd.",41523
11,Barnbrook Systems Ltd,1317
11,Barnes Aerospace,C113
11,"Base Case, LLC",2517
11,Bauer,2030
11,BCG,C216
11,Be STEM Ready Sdn. Bhd.,0190
11,Beehive Industries,41314
11,"Beijing Lizheng Technology Co., Ltd.",4945
11,BEL Engineering,3835
11,"Belcan, a Cognizant company",C127
11,BETA Technologies,B024
11,Beyond Vision,"0680,1451"
11,BIBUS METALS Ltd,1320
11,Bihrle Applied Research Inc.,2125
11,BIKAR AEROSPACE,1134
11,BIRD Aerosystems,0380
11,Bisen Aerospace Private Limited,1052
11,Bisiach and Carru S.p.A.,1245
11,BLACKLEAF,1360
11,Bloc Digital,"4105, E009, E010, E028,41314"
12,Blue Aerospace,4540
12,Blue Raven,4131
12,BLUEROOM SIMULATIONS PTY LTD,3311
12,"BlueWaveTel Co., Ltd.",41031
12,BMT Aerospace International,"1058, 1157"
12,Bodd,3311
12,Bodycote Heat Treatments Ltd,41111
12,Boellhoff Group,1024
12,Bombardier Defense,C603
12,Bond Optics,2039
12,BOTT LTD,1310
12,Bowmill Engineering and Metal Treatments Ltd,4026
12,Bralco Metals,C209-210
12,Brazilian Aerospace & Defense Cluster,41124
12,Breaker,3311
12,Bridgeways,1351
12,Bright Engineering (Precision Products) Ltd,1317
12,Briles Aerospace,1355
12,British Airways - Pioneers of Tomorrow (Friday),PP-18
12,Broadway Group,"1120, C413"
13,Broetje Automation (UK) Ltd,1221
13,BROOKHOUSE AEROSPACE LTD,1310
13,BRPH,3501C
13,Bruntons Aero Products Ltd,1020
13,BSL Limited,0015
13,BTX Precision,2037
13,Business Isle of Man,1310
13,C5I S.r.L.,1435
13,CAAST SPA,1437
13,CABLEX PTY LTD,3311
13,Cadence Design Systems,2528
13,CAE Inc,C122-122A
13,California Governor's Office of Business and Economic Development,2338
13,Callen-Lenz,1331
13,CALLINGTON,3311
13,Cambridge Aerospace,0620
13,Capabilities Beyond Engineering LTD,1320
13,Capgemini,"C130, 1211"
13,Carbon8Lighting,4648
13,Carter Manufacturing Limited,1031
14,CARUSO FREELAND GmbH,D015
14,Castings Technology,0060
14,Castle Metals Aerospace,2318
14,CAV Systems Ltd,1525
14,CCP Gransden - Advanced Composites,1321
14,CDI-Hallite Aerospace,4034
14,CE2K - LUXSOLAR,1437
14,CEIPIEMONTE/PIEMONTE AGENCY,1245
14,Century Fasteners Corp.,3521B
14,Century Fasteners de Mexico,3320
14,CEVIANS,4548
14,CFM International,D045
14,CGR International,1360
14,"CHAOYANG JINDA TITANIUM CO., LTD",4821
14,Chartered Institute of Management Accounting (AICPA & CIMA) - Pioneers of Tomorrow (Friday),PI-12
14,Chihuahua Aerospace Cluster,3320
14,Chihuahua Global EDC,3320
14,Chihuahua State Government,3320
14,Chihuahua State Government,3320
14,"China Southern Sci - Tech (Guangdong Hengqin) Co., Ltd.",0580
15,Chromalloy,C222
15,CIRA - ITALIAN AEROSPACE RESEARCHE CENTRE,1445
15,CIRCOR AEROSPACE & DEFENSE / Aero-Mark,C215
15,CITD AEROPOLIS,2121
15,"City St. Georges, University of London",4824
15,CIVITANAVI SYSTEMS,1343
15,Clampco Products,41314
15,Clarendon Specialty Fasteners,4900
15,Classic Lear Jet Foundation,C326-327
15,Click Bond,3731
15,CLOUD FOR DEFENCE,1435
15,CMC Electronics,4125
15,CMS SPA,4830
15,Co.Me.Ar. Srl,"1145,1147"
15,CoAspire,4546
15,COEXPAIR,"1058, 1157"
15,Cogne Acciai Speciali,1238
15,Cognitive Design Systems,4238A
15,Cognitive Engineering Technologies Pvt Ltd,2016
15,"Cognitus, an IBM Company",1513
16,Colorado,2328
16,COMAC,"C324-324A, 41130"
16,Composites UK,1310
16,Conair Group Inc.,"C223, 4225, 4525, 4623A, 4722"
16,CONFLUX TECHNOLOGY PTY LTD,3311
16,Consolidated Industries Inc.,41350
16,Cora Systems,41114
16,CORTES Y ACEROS DEL SUR,2121
16,Cosine,4238J
16,COSKUNÖZ AEROSPACE,41548
16,Cox Machine,C326-327
16,CP Cases Ltd,4020
16,CPP,"1058, 1157"
16,Cranden Diamond Products Ltd.,1554
16,Crane Aerospace and Electronics,4530
16,CraneAero (Cranfield University) - Pioneers of Tomorrow (Friday),PI-25
16,Cranfield University,1027
16,Cre8tive Space Ltd,1317
16,"Creare, LLC",2039
16,Creative Hut,0870
17,Crescent Manufacturing,2524
17,CRISSAIR INC.,3331
17,Cristex,1310
17,Cross Manufacturing,2008
17,Crowell & Moring,4212
17,CTRM HOLDINGS SDN BHD,0190
17,CVG Cincinnati/Northern Kentucky International Airport,C121
17,CycloKinetics Inc.,2517
17,Cygnet Texkimp,1310
17,Cyient Limited,4015
17,Czech Pavilion,C332
17,D-RisQ Ltd,1320
17,Daejeon Technopark,41031
17,"Daido Steel Co., Ltd","2006, 2117, 2504"
17,Dassault Aviation,F020
17,Dassault Systèmes UK Ltd,C207-208
17,Dawin Friction,4931
17,De Havilland Aircraft of Canada Limited,C125-126
17,Dealey Environmental,4028
17,Dedrone,3934
18,Defence and Aerospace Industry Exporters' Association - SSI,41447
18,Defense and Development Enterprises,3526D
18,Defense Security Cooperation Agency,2136
18,"Defense Technology Equipment, Inc.",2125
18,Deloitte Touche Tohmatsu Limited,C334
18,Denison Industries,3233
18,DENN,3022
18,Denroy Ltd,1321
18,Department for Business and Trade,1120
18,Department of National Defence,"C223, 4225, 4525, 4623A, 4722"
18,DEPE Gear Company Ltd,1310
18,"Derco, a Lockheed Martin Company",2340
18,DESEC - Desarrollo Económico del Estado de Chihuahua,3320
18,Destinus,1305
18,Development Bank of Canada,"C223, 4225, 4525, 4623A, 4722"
18,DHL,C121
18,Didactic Services Ltd.,4803
18,DIEHL Aviation,4820
18,DistroLogic,2324
18,DK-LOK,4935
19,DLA Piper LLP,C121
19,Doncasters,3550
19,Dong Yang AK Korea,41035
19,Dovetail Electric Aviation,2121
19,DOVETAIL ELECTRIC AVIATION (AUSTRALIA) PTY LTD,3311
19,"Dowty, a GE Aerospace company",B026
19,DP Engineering,"1120, C413"
19,Drive System Design Ltd,0080
19,DRONE FORGE,3311
19,DRONESHIELD GROUP PTY LTD,3311
19,Druck,4230
19,Dual Use Capital s.r.o. | Decent Cybersecurity s.r.o.,4238D
19,Ducommun Incoporated,C328
19,Duvelco Limited,3832
19,Duxford AvTech by HBD,1317
19,Dylan Aerospace,1351
19,Dynamic Aerospace Fabrications Ltd,1320
19,Dynamic Metals Ltd,4910
19,Dynatech International,2331
19,E23,1435
20,Eaton,C226-227A
20,Edare,2039
20,EDePro d.o.o,0600
20,"EEA Aircraft and Maintenance, S.A.",1451
20,EFOR GLOBAL SAVUNMA İNŞ. ENERJİ TİC. A.Ş.,3215
20,EGADD,1120M
20,Egile Mechanics,0065
20,Elbit Systems,1330
20,Electric Flying Connection,1353
20,Electron Source Co S.r.l.,1435
20,Element Materials Technology,1116
20,Elgiloy Specialty Metals,1028
20,Elinor Coatings,2028
20,Eliot,1451
20,Elite Electronic Systems,1321
20,Elite EMC Ltd,4238F
20,Ellwood Group Inc.,C118
20,ELT Group,1340
20,Embassy of Mexico in the United Kingdom,3320
20,EMBRAER,C104-106
21,Embry-Riddle Aeronautical University,3521A
21,EMERALD AERO GROUP,0390
21,Emergent Swarm Solutions,4238K
21,EMITECH GROUP,1360
21,eMoSys GmbH,2000
21,EN4,"1145,1147"
21,ENERGY LASER SRL,1250
21,Enjet Aero,2127
21,Ensenada EDC / COPREEN,3320
21,"Entegris, POCO Materials",3545
21,Enterprise Ireland,0390
21,Epirus,2338
21,ePropelled,2039
21,ERA Electronic Systems srl,"1145,1147"
21,ERG Aerospace,3030
21,ESCO Aerospace,3331
21,ESEA AUTOMATION SRL,1250
21,Essex Industries,3031
21,Ethereal Machines Private Limited,0515
21,Euram Air Leases Ireland Ltd,0390
22,EURAMEC,"1058, 1157"
22,EURO-COMPOSITES Corporation ®,2125
22,Eurofighter Typhoon,"C135-137, E020"
22,EUROLINK SYSTEMS SRL,1435
22,Eutelsat,4503
22,Eve Air Mobility,D030
22,Evident Inspection Technologies,0660
22,Evolito,1107
22,Exeter College,"1120, C413"
22,"Expeditionary Technical Solutions, Inc.",2338
22,Expeditors International,4730
22,Expromet Technologies Group,1548
22,Extrude Hone Ltd,1557
22,FAM Group Ltd,"1120, C413"
22,Fargo Jet Center,2028
22,Farnborough Aerospace Consortium,1317
22,Farnborough College of Technology,1317
22,Farsound Aviation Limited,1216
22,Fastavia,3730
22,Fastech,2125
23,FasTech,1310
23,FDH Aero,1121
23,FEAM Aero,C121
23,FEMIA - Mexican Federation of the Aerospace Industry,3320
23,Feronyl,"1058, 1157"
23,Ferra,3311
23,FEV Aerospace,4046
23,FIDAE 2028,2508
23,FIDAMC,2121
23,Fidia SpA,1245
23,Fifth Ingenium SRLs,1435
23,FIGEAC AERO,1360
23,FIMAC SpA,1404
23,Flanders Investment and Trade (FIT),"1058, 1157"
23,Flexcompute,2526
23,FlexSys,2004
23,Flight Crowd,PI-15
23,Flightcase Warehouse,1522
23,Flitetec Limited,1120A
23,"Flohr Machine Company, Inc.",41314
24,Flygas di Gamberini Stefano,1250
24,FlySight Srl,1540
24,FMT Aerospace LTD,1133
24,FMV - Test and Evaluation,1041
24,Fokker Services Group,1353
24,FOMAP srl,"1145,1147"
24,FOMAS Group,1040
24,Ford Aerospace,2511
24,Forged Solutions Group,4535
24,Forgital Italy SpA,1150
24,Framatome Ltd - Defence and Space,1204
24,Frasers Aerospace,1317
24,Freightline Carriers,"1056, 41542"
24,Fresal srl,1245
24,Freudenberg Sealing Technologies,4225
24,Friction Technology Ltd,4544
24,FRISA,C603
24,Fry Steel,C209-210
24,FSL Aerospace Ltd,1500
24,FUCINE UMBRE,"1145,1147"
25,"Fuji Industries Co., Ltd",2514
25,Fukushima / Hama K.K.,0780
25,"FUSHUN SPECIAL STEEL CO.,LTD",4945
25,G.R. TRATTAMENTI TERMICI S.r.l.,1435
25,G.W. Lisk Company,2020
25,G&G Aero,2129
25,G&O Springs,1320
25,GAZC,2121
25,GB BARBERI SRL,1437
25,GCAP Agency and Edgewing,"E016, E018"
25,GE Aerospace,B026
25,General Atomics,"D010, 2140"
25,General Dynamics Mission Systems,1207
25,General Plastics,1351
25,Georg Martin GmbH,1044
25,GF Casting Solutions Novazzano SA,4732
25,GGB,41502
25,GIFAS,1360
25,GKM Aerospace Ltd,1120E
25,GKN Aerospace,C231-233A
26,Glenair,3845
26,"Globe Engineering Co., Inc.",4605
26,Globus Metal Powders Ltd,1025
26,GM&T INTERNATIONAL 2000 SRL,0150
26,GNTP (Gyeongnam Technopark),4935
26,Godrej and Boyce Manufacturing Company Limited,0030
26,Goodridge Ltd,1317
26,Goonhilly / COMSAT,4514
26,Gould Alloys Ltd,"1231, C119-120"
26,"Government of Ontario, Canada",4520
26,Greater Everett Chamber of Commerce,1351
26,Greater Seattle Partners,1351
26,Green Power Turbine Systems,0600
26,Greene Tweed,0640
26,Greenjets Ltd,4042
26,GroundControl,4646
26,Groveley Precision Engineering Ltd,1317
26,GROWERMETAL SPA,1014
26,"GSE Dynamics, Inc.",2432
26,GSE-M TECHNOLOGY SDN.BHD,0190
27,GTA Aerospace Technologies Corp.,4935
27,"Guangzhou Bayern Messe Co.,Ltd.","41521,41522,41523,41524,41525, 41526,41528,41529, 41530,41531"
27,Gulfstream International Corporation,2540
27,H3R Inc.,41031
27,Hampshire Futures - Pioneers of Tomorrow (Friday),PI-10
27,HandyTube,C118
27,Hankuk Carbon,4935
27,"Hanstar Technologies Co., Ltd.",41520
27,Hanwha Aerospace,C312
27,Harlow Wichita,C326-327
27,Harmonic Drive SE,41141
27,Härtha Group,1353
27,Haynes International,C603
27,HDR,1351
27,Heamar Company Limited,4315
27,"Hebei Grande Precision Machinery Co.,Ltd",41531
27,HEGGEMANN AG,4731
27,HEICO,4540
27,Heinz Berger Maschinenfabrik GmbH and Co. KG,4150
27,HELITAK FIRE FIGHTING EQUIPMENT PTY LTD,3311
28,Helix,1320
28,Helix Linear Technologies,0570
28,Heller Machine Tools Ltd,1320
28,HellermannTyton Ltd,0360
28,Hellios Information Limited,1120P
28,Hempel Special Metals,41532
28,HEO,3311
28,Hermith GmbH,4724
28,Héroux-Devtek Inc,4321
28,Hewland Engineering ltd,1320
28,Hexagon,3531
28,Hexcel,C211-212
28,Hical Technologies Private Limited,41135
28,High Value Manufacturing Catapult,1111
28,Hillsboro Aero Academy,2031
28,Hindustan Aeronautics Limited,"4947, C408"
28,HISPANO AERONAUTICA,2121
28,HITEC Sensors,2513
28,HMS MAKINA SANAYI VE TICARET A.S.,41347
28,"Ho-Ho-Kus, Inc.",2038
29,Hobart Machined Products Inc,1351
29,Honeywell Aerospace,C134
29,Honeywell Control Systems Ltd,4921
29,Horizon Aircraft Ltd,4625
29,Houston Precision Fasteners,1341
29,Hover Inc.,1351
29,Howco,4836
29,Howmet Aerospace,C224-225
29,Howmet Aerospace | Fastening Systems,C313
29,HQW Aerospace,1532
29,HR Smith Group,1060
29,HTC Srl - A NCM Company,"1145,1147"
29,HTS Vacuum Furnaces,1104
29,Hughes Network Systems Europe,4414
29,Hummingbird Aero International,0390
29,Hummingbird Aero LLC,2517
29,"Hunan Xiangtou Goldsky Titanium Industry Technology Co., Ltd.","0130, 41140, 41340. 41546, 41544"
29,"HUNAN XIANGTOU GOLDSKY TITANIUM METAL CO.,LTD.","0130, 41140, 41340. 41546, 41544"
29,HunterNet Co-Operative,3311
29,Hurst Green Plastics Limited,1326
30,Hutchinson,1227
30,Hwashin Bolt,41035
30,HYCAERO LTD,1310
30,Hyde Group,1120C
30,"HyPerComp Engineering, Inc.",2517
30,iAccess Technologies,2338
30,IASC China Aerospace Clusters Pavilion,"0130, 41140, 41340. 41546, 41544"
30,iBase-t,2338
30,ICD Europe Ltd,41510
30,iCOMAT,1320
30,IERUS Technologies,3340
30,IGCS Defense,3545
30,IHI Corporation,"2006, 2117, 2504,C123"
30,Illinois Pavilion,2040
30,Impro Aerotek Europe,4812
30,IMSAR,3026
30,IMX Aerospace,3501F
30,INADET / CENALTEC,3320
30,Incheon Technopark,4931
30,Incora,C217
31,INDAERO,2121
31,Independent Forgings & Alloys Ltd,1131
31,"Industrial Machine Tool, Inc.",1351
31,Industrial Metals International Limited,2512
31,INESPASA,2121
31,INFORTECORP SOLUTIONS LIMITED,4238H
31,Ingenium Aerospace,2040
31,Ingenium Technologies Corp.,2040
31,Innovaero Pty Ltd,3311
31,Inspectahire Instrument Co. Ltd,4238C
31,Institute for Aerospace Technology,1320
31,Institution of Mechanical Engineers (IMechE) Aerospace Division,"PI-19, PI-20, PINN-07"
31,"Integra-Cast, Inc.",41060
31,Integrated Procurement Technologies (IPT),2034
31,"Integrated Technologies, Inc.",1351
31,Intelligent Energy Ltd,1120J
31,Interconnect Solutions Group,4900
31,International Digital Defense Equipment Agency (IDDEA),"1058, 1157"
31,Invest in Gloucestershire,1120D
31,Invest Manchester,1310
32,Invest Northern Ireland,1321
32,Invest Selangor Berhad,0190
32,Investissement Québec International,4121
32,INVESTMENT AND PRECISION CASTINGS LTD,4740
32,Irvin GQ,1221
32,ISATI SRL,1437
32,ISOCLIMA S.P.A.,1250
32,Israel Aerospace Industries,"C323, 4610"
32,Italian Pavilion,1536
32,Italian Trade Agency - AGENZIA ICE,1250
32,Italiana Ponti Radio Srl,1437
32,ITP Aero,1311
32,"J&M Products, Inc.",1518
32,Jabil,3941
32,Jaivel Aerospace,1320
32,"JANA, Inc.",3545
32,Japan Aircraft Industrial Enhancement Co. Ltd.,"2006, 2117, 2504"
32,JAS Worldwide,3140
32,JAXUSA Partnership,2534
32,JEC,0860
33,Jeh Aerospace Inc.,4515
33,Jenkins Engineering Defence Systems (JEDS),3311
33,JetZero,C333
33,"Jiangsu Flying Cloud Titanium Alloy Material Co., Ltd and Jiandu Longda Superalloy Co., Ltd",41504
33,JobsOhio,"1431, C603"
33,Joby Aviation,"B030, C631"
33,JOINTEK SRL,1245
33,Joss Engineering (Barrow) Ltd,1415
33,KAI,4940
33,Kale Jet Engines,4860
33,"Kallman Worldwide, Inc.","3050, C603, C604"
33,"Kalman Machinery (Jiaxing) Co., Ltd.",4650
33,Kamatics & RWG & GRW,4808
33,Kansas: Air Capital of the World,"C326-327, 4605"
33,KCC Corporation,41035
33,Kearfott Corporation,2035
33,Keighley Laboratories Ltd,1310
33,Kenard Engineering Group,1034
33,Kencoa Aerospace,2024
33,Kepplair Evolution,1360
34,"KEUMYONG MACHINERY CO,. LTD.",4839
34,"KGL MACHINERY&ELECCTRONIC CO., LTD",41536
34,Kineco Limited,41135
34,KMWE Aerospace B.V.,1353
34,Knight Precision Metals Limited,1028
34,KONGSBERG,2111
34,Korea Aerospace Industries Association,4834
34,Korea Conformity Laboratories,41035
34,"KPC Metal Co., Ltd.",41035
34,KPMG,C133
34,"KSP STEEL CO., LTD.",4931
34,Kuhmichel Abrasiv Ltd,4550
34,Kulite,41538
34,L.M.A. SpA,1235
34,L2 Aviation,C121
34,"L3Harris Technologies, Inc.",2531
34,LABORMET DUE Srl,1245
34,Laga Srl,1100
34,Laser Industries Inc.,2338
34,Laser Wire Solutions,1221
35,LeanDNA,2519
35,Lebronze alloys,4030
35,LeFiell Manufacturing Company,3012
35,Leonardo SpA,"B010, B012"
35,Li-S Energy Limited,3311
35,Liberty Hall Capital Partners,C604
35,Liebherr-Aerospace & Transportation SAS,4918
35,Liebherr-Electronics and Drives GmbH,4918
35,LIG Defense&Aerospace,4848
35,LIMITED LIABILITY COMPANY “ODESA AIRCRAFT PLANT”,0100
35,Lincotek Surface Solutions,3937
35,Linde Advanced Material Technologies Inc.,3530
35,LOAR Group,4318
35,Localyte S.r.l.,1435
35,Lockheed Martin,4110
35,Lockheed Martin Corporation,"C412, C501"
35,Logic SpA,1440
35,Lombardia Aerospace Cluster,1437
35,Loop Technology,1111
35,"Loos and Co., Inc.",3526E
36,LPE,1321
36,Lubeco,1355
36,Lucas Milhaupt,4038
36,Lucideon,1036
36,Lufthansa Technik Defense,3002
36,M.E.RIN S.R.L.,1250
36,MAC Aerospace Corporation,2032
36,MAC Fasteners,1355
36,Macrodyne - Dunkes,4737
36,MADES,2121
36,MAG Aerospace,2125
36,Magellan Aerospace,4123
36,MAGNA STEYR Fahrzeugtechnik GmbH & Co KG,"3722,3726, 3728"
36,Magnet Schultz Ltd,4721
36,MAGROUP Magnaghi Aerospace,0370
36,MAHER,4818
36,Makino Inc.,C603
36,MALAYSIA AEROSPACE INDUSTRY ASSOCIATION,0190
36,Malaysia External Trade Development Corporation (MATRADE),0190
36,MANETmesh Technologies Munich GmbH,41521
37,Mantec Services Inc.,2040
37,Marand,4725
37,MARINE HVAC DESIGN,2121
37,Marmon Aerospace & Defense Group,4842
37,Marshall Aerospace,3321
37,Martin-Baker Aircraft Co.,"1260, C109"
37,Martinic Engineering,1355
37,MARVIN GROUP,2131
37,Master Fluid Solutions,41314
37,Matt Black Systems,1400
37,Maven Engineering Corporation,2518
37,Maximum Technology Corporation,3340
37,maxon Group,1053
37,Maycast-Nokes,1320
37,Mayday Manufacturing,3331
37,MB Servizi e Trasporti Srl,1435
37,MBDA,E032
37,MBDA Corporate,1230
37,"McNAIR Center, University of South Carolina",2324
37,MDA SPACE,4500
38,Meadowlark Aircraft Company,2028
38,Meapforni Srl,4647
38,Mecaer Aviation Group S.p.A,1245
38,Mecaplex AG,4517
38,Meccanotecnica Umbra Spa,"1145,1147"
38,MED TECHNOLOGY SRL,1435
38,Melbourne Orlando International Airport,3501D
38,MELD Manufacturing Corporation,2125
38,MERLETTI SRL,1437
38,Mersen UK Teesside Ltd,1320
38,Met Office,3704
38,Metal Finishing Company,C326-327
38,Metalex,4719
38,METALWEB LTD,1310
38,Metavonics,1360
38,Metcar,0540
38,MEXICALI EDC,3320
38,Meyer Tool Inc.,3560
38,MG / GEKO / EISEMANN,41350
38,MHI,C228-230
39,Michigan Office of Defense and Aerospace Innovation,3729
39,Micro Spring and Presswork Ltd,1030
39,Micromach GmbH,4738
39,Mid-Continent Instruments and Avionics,2522
39,"Mid-Mountain Materials, Inc.",1351
39,"Mid-State Aerospace, Inc",4605
39,Middlesex Aerospace,1317
39,Midlands Aerospace Alliance,1320
39,Mikron Tool,4517
39,MinebeaMitsumi Aerospace,2012
39,Mini Gears,1051
39,MINIMAL,1402
39,MISHRA DHATU NIGAM LIMITED,4947
39,Missiles and Space Batteries Ltd,1016
39,Mississippi Development Authority,2130
39,Missouri Department of Economic Development,3133
39,"MITSUI SEIKI KOGYO CO., LTD.","2006, 2117, 2504"
39,MJ Sections Ltd,1320
39,Monogram Aerospace Fasteners,1355
